,year,CO2
0,137.0,280.4
1,275.0316390041494,276.81771972840437
2,413.06327800829877,281.4300522514215
3,551.0949170124481,280.73679348435576
4,689.1265560165975,281.7613930776237
5,827.1581950207469,279.088870475323
6,965.1898340248963,276.9452235005659
7,1103.2214730290457,278.4493541694552
8,1241.253112033195,278.6082987551867
9,1379.2847510373444,277.91177234822544
10,1517.3163900414938,279.7197284043757
11,1655.3480290456432,278.8634778335881
12,1793.3796680497926,278.1649902831031
13,1931.411307053942,276.89934713166036
14,2069.4429460580914,276.7
15,2207.4745850622407,277.55151341138117
16,2345.50622406639,277.4351020579236
17,2483.5378630705395,276.3532943238126
18,2621.569502074689,275.21498628028377
19,2759.6011410788383,275.3482285349505
20,2897.6327800829877,274.67733618603046
21,3035.664419087137,276.1048312082658
22,3173.6960580912864,273.6245096190117
23,3311.727697095436,274.7994024553342
24,3449.759336099585,273.4443167712877
25,3587.7909751037346,272.0183185590343
26,3725.822614107884,275.36505352095736
27,3863.8542531120333,272.9305532503458
28,4001.8858921161827,271.60224905094026
29,4139.917531120333,271.9216493775933
30,4277.9491701244815,271.2130081714737
31,4415.98080912863,269.37723175839665
32,4554.01244813278,271.1529157185562
33,4692.04408713693,270.76742100223424
34,4830.075726141079,268.88469436760414
35,4968.107365145228,269.46868337057134
36,5106.139004149378,267.1769740978247
37,5244.170643153528,265.2261661024969
38,5382.202282157677,267.40430302199957
39,5520.2339211618255,265.6942608318055
40,5658.265560165975,260.828701033828
41,5796.297199170125,266.0067867697543
42,5934.328838174274,264.2240816237704
43,6072.360477178423,262.15607917643877
44,6210.392116182573,261.1398544574375
45,6348.423755186723,259.5041716064019
46,6486.455394190872,262.47805689506936
47,6624.487033195021,258.06100503544263
48,6762.51867219917,259.46190207468885
49,6900.55031120332,262.7250992023527
50,7038.581950207469,260.41025612527164
51,7176.613589211618,259.30035329229304
52,7314.645228215768,260.38132056354334
53,7452.676867219918,259.4889528339366
54,7590.708506224067,260.7915821042685
55,7728.740145228216,259.474199515906
56,7866.7717842323655,258.39713911334354
57,8004.803423236515,261.15196576763486
58,8142.835062240664,261.4795310569827
59,8280.866701244813,259.00373236514525
60,8418.898340248963,260.72278699861687
61,8556.929979253113,259.5380100276625
62,8694.96161825726,262.54454008425455
63,8832.99325726141,263.7576391261899
64,8971.02489626556,265.1734120651133
65,9109.05653526971,260.7066033454357
66,9247.08817427386,263.14200634610694
67,9385.119813278008,263.9866296254192
68,9523.151452282158,264.36479849940315
69,9661.183091286308,264.09647888502207
70,9799.214730290456,263.45431583518285
71,9937.246369294606,265.3946338454637
72,10075.278008298756,267.18497925311203
73,10213.309647302905,266.85436844032216
74,10351.341286307055,265.58042961238743
75,10489.372925311203,266.7448392116183
76,10627.404564315353,264.8
77,10765.436203319503,264.87028263383445
78,10903.467842323651,264.3331486132343
79,11041.4994813278,264.31301156710055
80,11179.53112033195,263.33029045643156
81,11317.5627593361,260.1187586445367
82,11455.59439834025,253.84062303533258
83,11593.626037344398,250.45225386646547
84,11731.657676348548,250.42661464910694
85,11869.689315352698,245.3
86,12007.720954356846,244.7624864694209
87,12145.752593360996,240.0329025646153
88,12283.784232365146,238.4807395557333
89,12421.815871369296,237.54065269709542
90,12559.847510373445,236.1131401693855
91,12697.879149377593,236.1415636648147
92,12835.910788381743,237.88290775614428
93,12973.942427385893,237.42949632724012
94,13111.974066390041,237.8563429144569
95,13250.005705394191,237.545694238829
96,13388.03734439834,236.71334264684418
97,13526.06898340249,238.76267797575463
98,13664.10062240664,238.6
99,13802.132261410788,238.6
100,13940.163900414938,239.0727913208852
101,14078.195539419088,235.21247121734552
102,14216.227178423236,231.09096312313716
103,14354.258817427386,228.47924744233708
104,14492.290456431536,228.42336418767954
105,14630.322095435686,227.34433817427384
106,14768.353734439836,225.86352508487363
107,14906.385373443984,225.10598556220666
108,15044.417012448133,224.13329171438764
109,15182.448651452283,222.57184783425018
110,15320.480290456431,221.5732668758223
111,15458.511929460581,220.98446065949955
112,15596.543568464731,220.66851539129595
113,15734.57520746888,219.46475109765512
114,15872.60684647303,214.50224325726134
115,16010.638485477179,209.6676462267291
116,16148.670124481328,207.58093061441852
117,16286.701763485478,207.03245591286304
118,16424.733402489626,203.58166493775934
119,16562.765041493778,201.77629668049792
120,16700.796680497926,199.69070421427307
121,16838.828319502074,196.02730526439993
122,16976.859958506226,194.6235769873108
123,17114.891597510374,193.85725139098454
124,17252.92323651452,192.34099475040867
125,17390.954875518673,190.79006742738588
126,17528.98651452282,188.9738616510155
127,17667.018153526973,188.5
128,17805.04979253112,188.5
129,17943.08143153527,189.19947617141054
130,18081.11307053942,188.31155334740723
131,18219.14470954357,187.42363052340394
132,18357.17634854772,187.45110217842324
133,18495.20798755187,188.31379992219917
134,18633.239626556016,188.85711394161956
135,18771.271265560168,189.24187112351268
136,18909.302904564316,189.18279965552333
137,19047.334543568464,188.41862398457133
138,19185.366182572616,188.54823115734519
139,19323.397821576764,188.67783833011902
140,19461.429460580912,188.7706354694944
141,19599.461099585063,189.25419798954843
142,19737.49273858921,189.94724387576173
143,19875.524377593363,188.93729685338863
144,20013.55601659751,188.02839557399724
145,20151.58765560166,188.1817640617796
146,20289.61929460581,192.8135773076661
147,20427.65093360996,189.55512550166657
148,20565.68257261411,187.56701497824108
149,20703.71421161826,187.0620211770064
150,20841.745850622407,186.75742075950964
151,20979.77748962656,186.5474867077923
152,21117.809128630706,185.71846979050702
153,21255.840767634854,184.70848218803764
154,21393.872406639006,185.46648547717842
155,21531.904045643154,186.07129216640558
