Gasage (yr BP),CO2 (ppmv)
-52.0,373.45
-53.0,375.98
-54.0,377.7
-55.0,379.98
-56.0,382.09
-57.0,384.02
-58.0,385.83
-59.0,387.64
-60.0,390.1
-61.0,391.85
-62.0,394.06
-63.0,396.74
-64.0,398.81
-65.0,401.01
-66.0,404.41
-67.0,406.76
-68.0,408.72
-69.0,411.65
-70.0,414.21
-71.0,416.41
-72.0,418.53
-51.02999999999997,368.02248790241714
-48.0,361.78073658846415
-46.27927212999998,359.6477931830841
-44.40564212000004,357.10673969933646
-43.07999999999993,353.94668533391206
-42.313517060000095,353.72423581425323
-41.134816709999996,352.41630841973364
-39.97139973000003,350.8086522409729
-39.407967809999946,349.8002703595191
-38.966334940000024,349.27841464963046
-38.06951193000009,347.59740561133145
-37.20859160000009,345.44120600376243
-36.616016200000104,344.71776861346984
-36.14322833999995,343.9736767615952
-35.76218001999996,343.1107520502481
-34.916752950000046,342.0519764062061
-33.07684986999993,341.3292967441024
-33.02591865999989,339.4604885213476
-29.14258988000006,334.84855553252345
-26.796750369999927,335.54695345792317
-26.67036968000002,332.3689555204767
-25.570921230000067,332.3656863259178
-24.133413320000045,331.54980566810485
-22.088334380000106,328.41588801232757
-22.041017810000085,330.3504422217994
-20.872681979999925,326.3093257445175
-20.65630200999999,326.6491948420144
-20.637150239999983,324.9059936630005
-20.22168347999991,324.5570616692709
-19.423218019999922,324.70605757685405
-18.98437082999999,325.07717594979096
-18.813869489999888,324.08551736938495
-18.53874855999993,320.38065078205506
-16.78904407999994,320.4923553617883
-16.54523532999997,322.1747797142201
-15.866011569999955,320.98156635342656
-15.297878110000056,319.1950596158425
-15.226349230000096,319.8929363220089
-13.564495589999979,319.12347301713646
-13.200018279999995,319.06606441856763
-12.6152798600001,318.61106261456985
-12.542091540000001,317.4481354802273
-12.395341090000102,319.1381732232432
-12.321916399999964,317.5216280215933
-11.71589999999992,316.59261011941027
-10.568661719999909,318.20658038167187
-10.31404479999992,313.0933880516286
-9.092695849999927,311.98389241638387
-8.56297111999993,316.3340200101121
-8.102785849999918,316.1014028920352
-7.872424290000026,314.57216625352925
-7.257538840000052,315.2703546298443
-7.203373640000109,316.3253801823537
-7.103747099999964,314.4370577968855
-6.157200000000103,315.342073915026
-4.795964650000087,314.7139613439055
-3.791544359999989,313.1710570119369
-3.7139373699999396,312.8003637775662
-3.5585613600001125,312.22274083278216
-2.3839181700000154,312.1844627182946
-0.25090000000000146,312.0017776102837
0.33152825999991364,313.6602846482332
1.225945319999937,309.6939936066409
2.2935130999999274,311.57094999761165
3.3366031699999894,310.36290017732523
3.3731399599998895,312.8663621464335
4.38416084000005,312.5596867804179
4.442779830000063,311.9671347125998
4.6126112699998885,311.8114965345337
5.037190190000047,310.440204448011
5.2356770799999595,311.2775834649954
5.490957340000023,310.224309572614
6.426352059999999,312.36164019507424
7.792658919999894,311.878053578341
7.964587149999943,312.8437329659678
8.22030175000009,312.393938618938
9.160584629999903,311.80226771747726
9.245991239999967,307.7386635857962
10.030999999999949,309.80091502114107
10.408172680000007,310.9510867188181
10.77751491999993,311.21179432912515
11.03227736000008,310.4566675193962
11.838400000000092,308.47982780846024
11.870147509999924,311.94102882822733
12.132119869999997,311.52050972739016
12.233306950000042,312.3293254879136
13.136785700000019,307.4076931745866
14.12664190999999,309.3446868650601
14.290543329999991,307.25859856593024
14.94369888999995,306.3197983876916
16.123575399999936,309.6306260790445
16.40695077999999,307.0755443187391
17.219075570000086,305.94402817135216
17.462700710000036,308.27919921307927
17.70639580000011,308.25556223436706
19.17030616000011,305.7409186942765
20.613674270000047,305.3808267142061
21.256399999999985,305.78294147245686
21.46069323000006,305.70537216677735
21.843200000000024,305.66786848134046
22.203540369999928,308.01874186181465
24.686957090000078,304.96915678718324
25.251618980000103,304.7159146968185
27.163116590000072,306.19862429992156
27.494957789999944,303.1815383191544
30.2922188,301.8758603769565
31.331601200000023,304.61320734820134
32.12541188,303.85222132002366
34.213969129999896,301.9151507114715
35.60700403999999,300.7000886560916
37.484859689999894,301.29772622272134
38.71498595999992,299.25727749401767
38.90461155999992,297.7268153632511
39.284149150000076,298.10624698316605
40.23523068999998,297.86910679162327
41.47609211000008,301.50413540464433
44.225799999999936,299.62686294971274
44.45643668999992,297.32821856127947
44.64919585999996,299.0235966178361
46.09347466000008,295.9913578166476
48.298125289999916,295.6106368299745
49.82164923999994,294.22072160003313
51.057595010000114,297.0473645165553
51.34283968999989,295.2814574829282
56.24367503999997,293.80883068272027
56.34117893999996,293.16654166689625
56.9396999999999,295.3164626735822
57.12160448999998,294.8594308441452
57.6094814600001,295.17192926023625
60.1310578099999,290.9175394046256
60.992519469999934,292.3423879392772
62.60553327000002,294.34178746728605
64.39987096999994,288.1157636999787
65.82009999999991,289.2265988139854
66.20852756999989,289.7624132149648
67.07764627999995,292.46393479402104
70.04941602000008,287.7707291897673
73.09478323000008,289.3281310647417
76.2620196800001,291.5581974658393
77.17362217000004,286.6550967370638
79.95531419999998,286.32578146070443
80.3438782799999,287.9864944292303
81.58508690999997,289.53614491302415
82.26960000000008,287.9922513016967
83.25611204999996,285.05229227816864
85.87161822999997,286.65415816058197
87.02144425999995,285.3533187571561
88.16551931000004,287.17456217295097
91.15595858000006,286.6330756116753
93.3796722699999,283.16210074754474
95.28161881999995,285.56557722684016
96.29172496000001,288.05443747992655
98.89435269,285.4658308627274
99.173,288.7903954001126
99.73761839999997,284.00163402345765
102.67820000000006,286.839237474432
104.09510939000006,283.6198856894272
105.34534607,283.1828720355646
