Gasage (yr BP),CO2 (ppmv)
26954.9,188.08462820879998
27042.0,187.3935686286
27084.800000000003,186.271358966325
27170.199999999997,194.928153007
27280.100000000002,190.0614572262
27441.9,191.95313370887501
27502.800000000003,191.23379793375
27549.7,191.5337587855875
27586.399999999998,191.95350057714998
27661.3,191.46001174245
27687.0,192.712370759625
27714.1,190.6078690615
27718.6,189.304523923175
27820.7,187.586392521325
27866.399999999998,190.5849616488
27885.0,189.27849064935
27927.1,188.98634898427503
27973.2,189.286787345625
28097.3,189.95757968037498
28214.1,191.816137593
28271.6,191.59419376510002
28369.699999999997,192.63389865615
28413.9,189.156744422
28426.9,189.6458701976
28577.399999999998,193.10010418009998
28626.4,192.8154242622
28724.3,193.80250764615002
28841.9,193.8897968002
28902.7,192.68758991725
28948.6,193.25940327540002
29008.9,192.8724796734
29150.699999999997,192.26433856792502
29205.3,188.0966829643
29249.600000000002,192.39141674277
29323.899999999998,191.0119519104
29366.1,189.82870639425
29410.2,189.2132558424
29609.199999999997,189.24251845
29681.2,189.77280474485
29742.8,191.28441196185
29837.800000000003,190.9669244527
29952.100000000002,191.375496743275
29999.0,191.5673410079
30101.5,188.2467783878
30181.7,188.475316491
30277.9,186.51738769949998
30312.699999999997,185.98864642130002
30400.5,184.2981804458
30528.800000000003,182.936081584225
30712.999999999996,187.14328122450002
30775.699999999997,190.33222284570002
31105.2,187.999563507075
31356.4,188.4753253155
31524.100000000002,189.94686495800002
31792.100000000002,193.71283854975002
31818.4,192.9276430365
31933.899999999998,192.507154839675
32026.9,193.3257604058
32079.599999999995,193.90502757875
32147.499999999996,196.41665588339998
32150.600000000002,196.9080549903
32307.9,192.46518778166669
32361.2,195.247244775875
32434.8,194.110429478875
32511.100000000002,194.60682974099998
32594.6,194.4295742917
32677.799999999996,195.08012700165003
32714.1,195.93861278715002
32813.100000000006,199.302319209275
32880.9,196.70181603277499
33009.0,196.32609642975
33148.3,197.646004846875
33417.5,196.89622890765
33491.399999999994,197.12526326695
33555.3,197.79975641045
33758.100000000006,200.03106638475
33841.00000000001,195.627148340675
33885.7,195.2662323655
